n_cliques,c_max,m1,m2,m3,sbar,degeneracy,family,tau,kbar_target,n,seed,kbar,secs
8281,11,3.2517811858471197,13.966429175220386,77.46383287042629,3.2950089126559723,15,config,2.1,8.0,3000,3,6.929333333333333,0.45
9189,40,5.355751441941452,59.09348133638046,1111.809554902601,10.03364896167757,40,hrg,2.1,8.0,10000,1,7.9528,0.41
32336,15,3.7393926274121725,21.30841786244433,168.23914522513607,4.69836334014241,24,config,2.1,8.0,10000,1,7.2344,0.55
9124,45,5.465804471722929,69.69311705392374,1661.7952652345466,11.75075195508322,44,hrg,2.1,8.0,10000,2,7.9362,0.47
35239,19,4.450750588836233,33.524731121768504,350.5167002468856,6.532376944656976,28,config,2.1,8.0,10000,2,7.3056,0.62
9260,38,5.039200863930886,43.2413606911447,646.9400647948164,7.580995649658185,37,hrg,2.1,8.0,10000,3,7.9498,0.34
24544,14,3.1551091916558014,13.683303455019557,84.56824478487613,3.336871602164285,19,config,2.1,8.0,10000,3,6.515,0.45
28428,78,7.481356409174055,180.0800619107922,8419.823694948642,23.07050968591311,79,hrg,2.1,8.0,30000,1,10.350133333333334,2.58
155509,33,9.800571028043393,178.09228404786862,3939.0797638721874,17.171623218511925,49,config,2.1,8.0,30000,1,9.170333333333334,3.63
27714,68,5.802374251280942,97.84791080320414,3402.995489644223,15.863426343380567,67,hrg,2.1,8.0,30000,2,8.025466666666667,1.2
130178,27,6.923082241238919,88.95238058658146,1464.2063712762526,11.848667325763705,40,config,2.1,8.0,30000,2,7.416666666666667,1.92
27616,60,5.829084588644264,94.79258400927,3078.5823435689454,15.262001789086575,60,hrg,2.1,8.0,30000,3,8.062,1.12
115100,24,5.386828844483058,54.38566463944397,749.9464813205908,9.09604466923861,39,config,2.1,8.0,30000,3,7.457066666666667,1.75
93406,103,6.127175984412136,155.23802539451427,9439.001937777017,24.33598280667115,104,hrg,2.1,8.0,100000,1,7.98868,7.48
582068,38,13.92732979651862,331.1243033460008,8968.700531553013,22.77514629033708,63,config,2.1,8.0,100000,1,7.20174,11.95
93688,107,6.85524293399368,230.3575057638118,16224.516010588335,32.6031134099593,111,hrg,2.1,8.0,100000,2,7.9213,6.91
854506,38,16.546335543577225,391.84865290588954,10122.041192221,22.681899347072836,70,config,2.1,8.0,100000,2,7.35836,12.13
95216,84,6.45553268358259,122.4384977314737,5156.711393043185,17.96644378284283,84,hrg,2.1,8.0,100000,3,9.17846,17.28
340230,28,5.240775357846163,55.18296152602652,853.554045792552,9.529541481569138,45,config,2.1,8.0,100000,3,7.70928,21.38
284311,154,7.193168748307311,330.06624084189497,32961.69283284854,44.88606946271986,157,hrg,2.1,8.0,300000,1,7.9384266666666665,31.96
6139752,56,34.83531566095829,1417.0915523949502,59560.0123091291,39.679739095436325,95,config,2.1,8.0,300000,1,7.19294,72.24
282876,164,6.769489104766752,270.520143101571,25779.789299905264,38.96167789251387,165,hrg,2.1,8.0,300000,2,8.02378,36.6
7658540,54,34.94027582280696,1380.7592703047842,56051.78848657838,38.517698065895225,97,config,2.1,8.0,300000,2,7.20924,80.06
282754,140,6.743908132157282,256.5546199169596,22156.083065137893,37.04242508785353,143,hrg,2.1,8.0,300000,3,7.944766666666666,29.45
2188646,59,25.298016216418734,997.4047205441171,42416.89751746056,38.42620290901659,90,config,2.1,8.0,300000,3,7.23096,51.15
774,6,2.049095607235142,5.131782945736434,15.018087855297159,1.5044136191677175,5,hrg,2.5,2.0,1000,1,2.002,0.02
